x,y,velocity,rotation,price,rizz,anger,patience,aura,classification
35.0,58.0,87.0,62.0,77.0,46.0,51.0,131.0,91.0,friendly
74.0,111.0,58.0,19.0,-25.0,39.0,50.0,50.0,111.0,enemy
47.0,79.0,68.0,4.0,65.0,79.0,114.0,66.0,57.0,friendly
38.0,83.0,87.0,63.0,107.0,60.0,65.0,118.0,112.0,friendly
57.0,53.0,39.0,-12.0,-29.0,20.0,87.0,89.0,127.0,enemy
56.0,119.0,44.0,23.0,70.0,62.0,76.0,97.0,94.0,friendly
78.0,76.0,59.0,3.0,8.0,84.0,75.0,72.0,86.0,enemy
35.0,121.0,40.0,57.0,96.0,67.0,59.0,132.0,64.0,friendly
1.0,102.0,43.0,44.0,111.0,69.0,54.0,129.0,66.0,friendly
64.0,67.0,23.0,3.0,-10.0,19.0,40.0,77.0,71.0,enemy
73.0,49.0,14.0,-23.0,-2.0,32.0,56.0,86.0,106.0,enemy
7.0,74.0,63.0,3.0,87.0,47.0,66.0,70.0,109.0,friendly
112.0,94.0,62.0,-28.0,-6.0,29.0,35.0,104.0,125.0,enemy
31.0,113.0,85.0,49.0,59.0,55.0,93.0,75.0,97.0,friendly
47.0,58.0,42.0,22.0,70.0,73.0,93.0,81.0,67.0,friendly
29.0,95.0,75.0,37.0,102.0,33.0,59.0,72.0,78.0,friendly
91.0,92.0,16.0,21.0,26.0,87.0,35.0,86.0,121.0,enemy
112.0,51.0,55.0,15.0,34.0,18.0,72.0,60.0,63.0,enemy
-6.0,68.0,64.0,53.0,105.0,74.0,66.0,117.0,90.0,friendly
70.0,62.0,25.0,18.0,7.0,21.0,35.0,117.0,112.0,enemy
101.0,67.0,60.0,26.0,-8.0,46.0,78.0,115.0,99.0,enemy
73.0,72.0,6.0,-6.0,-6.0,69.0,83.0,112.0,103.0,enemy
91.0,62.0,5.0,3.0,10.0,36.0,82.0,119.0,64.0,enemy
97.0,115.0,16.0,35.0,5.0,63.0,85.0,105.0,112.0,enemy
30.0,99.0,46.0,57.0,57.0,84.0,85.0,70.0,59.0,friendly
53.0,63.0,24.0,-6.0,30.0,26.0,65.0,74.0,130.0,enemy
52.0,115.0,56.0,61.0,74.0,48.0,76.0,66.0,44.0,friendly
12.0,85.0,37.0,35.0,87.0,88.0,87.0,77.0,76.0,friendly
98.0,101.0,51.0,-18.0,-18.0,59.0,68.0,73.0,78.0,enemy
11.0,63.0,87.0,46.0,63.0,85.0,65.0,122.0,86.0,friendly
44.0,66.0,89.0,24.0,74.0,44.0,62.0,66.0,94.0,friendly
92.0,106.0,35.0,-8.0,-13.0,50.0,33.0,62.0,66.0,enemy
33.0,61.0,67.0,6.0,83.0,30.0,49.0,91.0,89.0,friendly
110.0,54.0,41.0,-1.0,18.0,30.0,54.0,113.0,70.0,enemy
109.0,66.0,71.0,4.0,20.0,46.0,29.0,67.0,77.0,enemy
64.0,66.0,42.0,58.0,62.0,88.0,108.0,71.0,81.0,friendly
91.0,64.0,7.0,-32.0,32.0,69.0,71.0,118.0,119.0,enemy
18.0,100.0,24.0,18.0,70.0,29.0,75.0,117.0,110.0,friendly
18.0,63.0,23.0,10.0,69.0,78.0,51.0,82.0,95.0,friendly
-1.0,65.0,39.0,59.0,74.0,82.0,69.0,77.0,61.0,friendly
71.0,79.0,53.0,29.0,4.0,56.0,40.0,117.0,98.0,enemy
98.0,73.0,43.0,-25.0,6.0,72.0,50.0,75.0,76.0,enemy
35.0,58.0,54.0,58.0,122.0,78.0,99.0,89.0,83.0,friendly
64.0,78.0,47.0,4.0,95.0,78.0,115.0,98.0,78.0,friendly
107.0,112.0,70.0,-30.0,10.0,50.0,60.0,67.0,108.0,enemy
102.0,113.0,70.0,13.0,13.0,86.0,72.0,96.0,121.0,enemy
63.0,71.0,46.0,30.0,-17.0,34.0,43.0,76.0,71.0,enemy
5.0,56.0,22.0,34.0,107.0,29.0,59.0,96.0,102.0,friendly
118.0,65.0,20.0,-23.0,-27.0,18.0,86.0,76.0,88.0,enemy
3.0,108.0,32.0,7.0,64.0,88.0,115.0,83.0,102.0,friendly
76.0,87.0,71.0,10.0,34.0,24.0,30.0,76.0,126.0,enemy
70.0,77.0,46.0,-14.0,30.0,52.0,95.0,68.0,120.0,enemy
77.0,62.0,53.0,-28.0,33.0,49.0,95.0,74.0,108.0,enemy
53.0,78.0,59.0,58.0,97.0,77.0,73.0,79.0,100.0,friendly
19.0,60.0,87.0,14.0,108.0,90.0,67.0,118.0,110.0,friendly
96.0,113.0,38.0,-31.0,-7.0,68.0,77.0,119.0,120.0,enemy
108.0,48.0,3.0,12.0,-28.0,74.0,31.0,64.0,72.0,enemy
9.0,106.0,28.0,4.0,123.0,39.0,78.0,106.0,113.0,friendly
36.0,125.0,42.0,1.0,91.0,25.0,93.0,109.0,47.0,friendly
-4.0,113.0,67.0,46.0,56.0,32.0,102.0,79.0,54.0,friendly
58,117,82,19,61,41,70,119,51,friendly
